experiment_group,experiment_name,AUM,net_annual_return,net_vol,net_sharpe,max_drawdown,gross_sharpe,commission_drag,slippage_drag,borrow_drag,average_daily_turnover,average_gross_exposure_used,cap_binding_days,average_long_names,average_short_names,IC_mean,IC_tstat,worst_12m_return,notes
A_basket_size,long_5pct_short_10pct,1000000000.0,-0.0015880066357101263,0.04238969026752528,-0.016296070062605583,-0.2937027537772676,1.3301122869777016,0.31061985617357557,0.9329503127259289,0.10283818814080276,1.0464631518968026,0.5232315759484013,3773,41.84658187599364,84.18282988871225,0.027312156387015896,8.362961872298367,-0.15097613221945583,
B_weighting,equal_weight_baseline,50000000.0,0.014369719691830873,0.056704118093749645,0.2799713372974793,-0.3070485692094844,2.2404767640788714,0.4430794451157527,1.329286700214149,0.18813928145149034,1.9938182617790163,0.9969091308895082,3590,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.16586342462997583,Current baseline weighting.
B_weighting,equal_weight_baseline,250000000.0,0.01686856911883905,0.04709857988743908,0.37871258524958523,-0.24577080487154135,1.7285964663082292,0.3089594780428968,0.9284694077699691,0.11245499524577801,1.157850272817945,0.5789251364089725,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.1297698772435233,Current baseline weighting.
B_weighting,equal_weight_baseline,1000000000.0,-0.0017618114912920646,0.021720529121737647,-0.07029689165788992,-0.20183588060836244,0.8038635303471164,0.20124087268638147,0.6021781302811888,0.0707414190374361,0.3450035092554944,0.1725017546277472,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.17834588253313577,Current baseline weighting.
B_weighting,volatility_weighted,50000000.0,0.028759655458674205,0.05560254890994855,0.5377635714713491,-0.24419847798397287,2.533464966820785,0.4518520718799639,1.3556215527774504,0.18822777069202168,1.9938182617790163,0.9969091308895082,3659,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.14251653808766396,
B_weighting,volatility_weighted,250000000.0,0.018907846376705173,0.046110513554193634,0.4292799658264421,-0.22081721298280432,1.8071343981120334,0.31544449300604116,0.9481648328158002,0.11424510646374986,1.157850272817945,0.5789251364089725,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.1217552171358951,
B_weighting,volatility_weighted,1000000000.0,-0.0010725032607822316,0.021729805860534256,-0.03848827031345075,-0.19269434728411883,0.835239908974834,0.20107933509606435,0.6018720216735233,0.07077682251869713,0.3450035092554944,0.1725017546277472,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.17339646936491226,
B_weighting,score_weighted,50000000.0,0.04015531053050925,0.06459377881328271,0.6418473702272748,-0.2644060649124481,2.366574789580949,0.3889774476161938,1.1669678023296006,0.1687821694078797,1.9938182617790163,0.9969091308895082,3729,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.1632276612889093,
B_weighting,score_weighted,250000000.0,0.02192157541489248,0.0518695743416452,0.44400144244120343,-0.25022012606765354,1.670547142152268,0.2805541778559537,0.8430073457377402,0.10298417611737065,1.157850272817945,0.5789251364089725,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.1364804195197119,
B_weighting,score_weighted,1000000000.0,-0.00027696708822266825,0.0229169274007032,-0.0005997252441215349,-0.20023202938079532,0.8277697329414406,0.19069934043264058,0.5707740517101664,0.06689606604275523,0.3450035092554944,0.1725017546277472,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.18070246753276953,
