AUM,subperiod,start_date,end_date,days,annual_return,annual_vol,sharpe,max_drawdown,worst_3m_return,worst_6m_return,worst_12m_return,top_5pct_days_pnl_share,return_autocorrelation_lag1,sharpe_autocorr_note,average_gross_exposure_used,cap_binding_days,fraction_cap_binding_days
50000000.0,year_2020,2020-01-02,2020-12-31,253,0.10017706588074171,0.08594307497105559,1.1539503913493077,-0.04980705185635015,-0.03583954377917453,-0.017904956105975978,0.10235042179499665,1.707176900708932,0.06619159142733694,no large positive lag-1 autocorrelation,1.0,251,0.9920948616600791
50000000.0,year_2021,2021-01-04,2021-12-31,252,0.028058160852818093,0.05228131285178873,0.5553470889284845,-0.05936994153829844,-0.045843670162059036,-0.038506426898596624,0.028058160852818093,3.6481614183169775,-0.07071057578924346,no large positive lag-1 autocorrelation,1.0,235,0.9325396825396826
50000000.0,year_2022,2022-01-03,2022-12-30,251,0.2604840761098888,0.07088796201466656,3.3024096775288037,-0.025296728470352803,0.017418060197581076,0.08543199477933427,,0.6349127012189926,-0.04390058230834083,no large positive lag-1 autocorrelation,0.9999999999999999,217,0.8645418326693227
50000000.0,year_2023,2023-01-03,2023-12-29,250,0.06462982684921226,0.0519708209747637,1.231031104874922,-0.04505031260817294,-0.026903861869718937,-0.023193674514959906,,1.7599215544793516,-0.06731994890669617,no large positive lag-1 autocorrelation,0.9999999999999999,186,0.744
50000000.0,year_2024,2024-01-02,2024-12-31,252,-0.02284785763088304,0.04864440019575888,-0.4509533283179544,-0.04178237966316223,-0.03022152426291591,-0.03110924782446578,-0.02284785763088304,-4.309440603930089,-0.01269758478902544,no large positive lag-1 autocorrelation,0.9960317460317459,144,0.5714285714285714
50000000.0,split_2010_2016,2010-01-04,2016-12-30,1762,0.07174567173999447,0.04468953842057077,1.5729835809716335,-0.1381874994426614,-0.07510722018787386,-0.10176965027150398,-0.13805341670658822,1.2615521204556708,-0.03297792762412983,no large positive lag-1 autocorrelation,0.9987514998819802,1762,1.0
50000000.0,split_2017_2024,2017-01-03,2024-12-31,2012,0.062101931418728995,0.05467646752969432,1.1293810141816172,-0.06642209945616462,-0.045843670162059036,-0.04222642672019583,-0.06374287870234563,1.8045107498829351,-0.002460974043910567,no large positive lag-1 autocorrelation,0.9995029821073559,1785,0.8871769383697813
50000000.0,stress_late_2018,2018-10-01,2018-12-31,63,-0.06428477434336288,0.05539147678617581,-1.1720784174350651,-0.02644258404585853,-0.016473821408706457,,,-1.3793386759626485,-0.0005259722176939362,no large positive lag-1 autocorrelation,1.0,63,1.0
50000000.0,stress_2020_q1,2020-01-02,2020-03-31,62,0.24919109044065246,0.10322100796434382,2.2074764263805484,-0.044748948847196934,,,,1.0437169180101007,0.014593335846427238,no large positive lag-1 autocorrelation,1.0,61,0.9838709677419355
50000000.0,stress_2022_drawdown,2022-01-03,2022-12-30,251,0.2604840761098888,0.07088796201466656,3.3024096775288037,-0.025296728470352803,0.017418060197581076,0.08543199477933427,,0.6349127012189926,-0.04390058230834083,no large positive lag-1 autocorrelation,0.9999999999999999,217,0.8645418326693227
50000000.0,full_2010_2024,2010-01-04,2024-12-31,3774,0.06659354064331446,0.050255585199684094,1.3081173675648692,-0.1381874994426614,-0.07510722018787386,-0.10176965027150398,-0.13805341670658822,1.535409159541941,-0.013695515138111092,no large positive lag-1 autocorrelation,0.9991521311054714,3547,0.9398516163222046
50000000.0,regime_Neutral,2016-02-26,2024-12-23,803,0.05532482076392342,0.052326983674777026,1.055308569096136,-0.05023710906098011,-0.047354217480361505,-0.030401181875444827,-0.01449389408369528,1.9412867730534091,-0.04234134639029706,no large positive lag-1 autocorrelation,1.0,727,0.9053549190535491
50000000.0,regime_Overweight,2017-01-17,2024-09-11,727,0.015088554515786168,0.04059574558840214,0.38915407161000964,-0.06097100210371298,-0.031766293556977354,-0.039552239616692075,-0.03316650145036215,5.0143002936418455,-0.013715766493501093,no large positive lag-1 autocorrelation,1.0,636,0.874828060522696
50000000.0,regime_Underweight,2016-01-04,2024-12-31,718,0.12028943601269493,0.06393870852385107,1.8088498608024268,-0.044748948847196934,-0.02008077912283268,-0.0028145197485553997,0.02788588379083401,1.09439929981635,0.03899249738155864,no large positive lag-1 autocorrelation,0.9986072423398329,661,0.9206128133704735
250000000.0,year_2010,2010-01-04,2010-12-31,252,-0.10090323942890078,0.03418492781432723,-3.0937486638177982,-0.10186483004750413,-0.044617833605161805,-0.07314193051479378,-0.10090323942890078,-0.5625424629634824,-0.04305734151653653,no large positive lag-1 autocorrelation,0.42458494760980536,252,1.0
250000000.0,year_2011,2011-01-03,2011-12-30,252,0.21387368771235438,0.0562686284180829,3.4737613667029215,-0.020771223800168714,0.0010433277765162785,0.05364948837233996,0.21387368771235438,0.6499648061667457,-0.055091454842629686,no large positive lag-1 autocorrelation,0.6753893655599709,252,1.0
250000000.0,year_2012,2012-01-03,2012-12-31,250,0.06700838650346208,0.027976682349657847,2.3325446729948283,-0.016800914243560894,-0.0010936647458408277,0.013660547886620078,,0.9248517142864014,-0.1392403508662631,no large positive lag-1 autocorrelation,0.5692903655475016,250,1.0
250000000.0,year_2013,2013-01-02,2013-12-31,252,0.05614539758146431,0.023805937006735958,2.3067040553860276,-0.011724786385346131,-0.0009329963883790704,0.010179363889980086,0.05614539758146431,0.9506168244636694,-0.014815509184473224,no large positive lag-1 autocorrelation,0.6402375342047206,252,1.0
250000000.0,year_2014,2014-01-02,2014-12-31,252,0.02573586178105347,0.036601877610635776,0.7124982433203256,-0.050059254621681926,-0.035663469871013764,-0.04011439563735075,0.02573586178105347,2.786692234150566,-0.004608819741908317,no large positive lag-1 autocorrelation,0.8035440078905186,252,1.0
250000000.0,year_2015,2015-01-02,2015-12-31,252,0.03913561682171873,0.024564349654727705,1.575143756802011,-0.010623094253010557,-0.0060719284847965405,-0.0019709887628655,0.03913561682171873,1.4442345865928736,0.0734781684475253,no large positive lag-1 autocorrelation,0.6458968415536562,252,1.0
250000000.0,year_2016,2016-01-04,2016-12-30,252,0.033047468528219826,0.023257883953641246,1.4096242739485751,-0.015341208457683053,-0.013081510894620507,-0.008386490323956886,0.033047468528219826,1.289916785183107,0.04233302774913549,no large positive lag-1 autocorrelation,0.47442563149226963,252,1.0
250000000.0,year_2017,2017-01-03,2017-12-29,251,0.01639784707454761,0.020497883568532844,0.8037195295356723,-0.013493674856571936,-0.010866871101608333,-0.0025175520235790616,,2.5192280309728834,-0.0016622762483763079,no large positive lag-1 autocorrelation,0.6108091098296052,251,1.0
250000000.0,year_2018,2018-01-02,2018-12-31,251,0.030777164294386594,0.03841028784070211,0.8083353079972553,-0.03382108455450328,-0.022865796613941503,-0.03156085300512146,,2.5643070533676706,-0.016513640318499365,no large positive lag-1 autocorrelation,0.8130197023264444,251,1.0
250000000.0,year_2019,2019-01-02,2019-12-31,252,0.12299961506559609,0.03639543626572449,3.206134440823692,-0.010265512374797447,0.009025764290355509,0.03892513015291743,0.12299961506559609,0.7237334078228654,0.023402357008944843,no large positive lag-1 autocorrelation,0.8088787141344128,252,1.0
250000000.0,year_2020,2020-01-02,2020-12-31,253,0.15532008208998427,0.09567312785824704,1.5572947137988697,-0.04782394720222238,-0.0368180655476833,0.015381048350850968,0.15735795981637168,1.2693811567769424,0.04293726338417872,no large positive lag-1 autocorrelation,0.884464783467308,253,1.0
250000000.0,year_2021,2021-01-04,2021-12-31,252,0.10832128786722928,0.05961679577042311,1.755113430430101,-0.05465606060398842,-0.04367708855696273,-0.012757231365330357,0.10832128786722928,1.2809440338173566,-0.06256175038995246,no large positive lag-1 autocorrelation,0.9618170601188758,252,1.0
