experiment_id,experiment_group,experiment_name,training_window,alpha_learning_method,weighting_scheme,ranking_scheme,short_treatment,notes,validation_2019_2022_250m_net_sharpe,validation_2019_2022_250m_max_drawdown,validation_2019_2022_250m_worst_12m_return,internal_holdout_2023_2024_250m_net_sharpe,internal_holdout_2023_2024_250m_max_drawdown,internal_holdout_2023_2024_250m_worst_12m_return,full_2010_2024_250m_net_sharpe,full_2010_2024_250m_max_drawdown,full_2010_2024_250m_worst_12m_return,full_50m_net_sharpe,full_250m_net_sharpe,full_250m_average_gross_exposure_used,full_250m_average_turnover,full_250m_commission_drag,full_250m_slippage_drag,full_250m_borrow_drag,full_250m_IC_mean,full_250m_IC_tstat,full_1b_net_sharpe,passes_phase2_replacement_rule
phase2_g6_02_prior25_learned75,G6_transparent_alpha_learning,25% prior / 75% learned,4y_rolling,prior25_learned75,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,1.2646546080094976,-0.08806340545779556,-0.06451088195075538,0.2578714654683665,-0.07160494408264428,-0.0460009895369865,0.9567535512709633,-0.10186483004750502,-0.10090323942890167,0.9190616299155425,0.9567535512709633,0.7198822346811201,1.4397644693622402,0.3601162208311357,1.0829970079857265,0.16084669131147877,0.02767477148436566,9.244995470766618,0.416913431847128,True
phase2_g4_06_exclude_tier_c_score_vol,G4_borrow_aware_short_leg,Tier C exclusion plus score/vol weighting,4y_rolling,prior50_learned50,score_divided_by_volatility,raw_alpha_score,exclude_tier_c,,1.2604409435104098,-0.12610215968398752,-0.1104595130912508,1.0501396518329105,-0.04268601100151015,0.01640269165940711,1.0914696809035316,-0.1261021596839872,-0.1104595130912508,1.5320647796712017,1.0914696809035316,0.7343679098557491,1.4687358197114981,0.34650993473561487,1.0416278436767201,0.0795971773939359,0.02816802648069744,9.46459597093671,0.3675952688413573,True
phase2_g3_05_short_alpha_minus_borrow_liquidity,G3_cost_aware_ranking,short-side alpha adjusted for borrow cost and liquidity penalty,4y_rolling,prior50_learned50,equal_weight,short_alpha_minus_borrow_liquidity,tiered_borrow_cost_only,,1.2014011478106439,-0.09461546248837438,-0.0723745920047355,0.024959857493112723,-0.09508624367552765,-0.06110348428796997,0.8685472350056914,-0.09961783292348814,-0.09690191039587903,0.8648446506070511,0.8685472350056914,0.7086598732236912,1.4173197464473823,0.35809841357840133,1.076852728827842,0.1681984623551701,0.02816802648069744,9.46459597093671,0.3387703253185347,True
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Current champion basket control.,1.1074255123155168,-0.09851396242016708,-0.0794616806591919,0.0026688460701988093,-0.09506742595622997,-0.0615192934467359,0.8114787674891382,-0.10186483004750502,-0.10090323942890167,0.8498947231965666,0.8114787674891382,0.7042679021269257,1.4085358042538514,0.36062756861413847,1.0843779321292029,0.1702932058194715,0.02816802648069744,9.46459597093671,0.26628490691030154,True
phase2_g2_01_equal_weight,G2_weighting_scheme,equal weight,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Current champion weighting control.,1.1074255123155168,-0.09851396242016708,-0.0794616806591919,0.0026688460701988093,-0.09506742595622997,-0.0615192934467359,0.8114787674891382,-0.10186483004750502,-0.10090323942890167,0.8498947231965666,0.8114787674891382,0.7042679021269257,1.4085358042538514,0.36062756861413847,1.0843779321292029,0.1702932058194715,0.02816802648069744,9.46459597093671,0.26628490691030154,True
phase2_g3_01_raw_alpha_score,G3_cost_aware_ranking,raw alpha score,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Current champion ranking control.,1.1074255123155168,-0.09851396242016708,-0.0794616806591919,0.0026688460701988093,-0.09506742595622997,-0.0615192934467359,0.8114787674891382,-0.10186483004750502,-0.10090323942890167,0.8498947231965666,0.8114787674891382,0.7042679021269257,1.4085358042538514,0.36062756861413847,1.0843779321292029,0.1702932058194715,0.02816802648069744,9.46459597093671,0.26628490691030154,True
phase2_g3_02_alpha_minus_round_trip_cost,G3_cost_aware_ranking,predicted alpha minus estimated round-trip trading cost,4y_rolling,prior50_learned50,equal_weight,alpha_minus_round_trip_cost,tiered_borrow_cost_only,,1.1074255123155168,-0.09851396242016708,-0.0794616806591919,0.0026688460701988093,-0.09506742595622997,-0.0615192934467359,0.8114787674891382,-0.10186483004750502,-0.10090323942890167,0.8498947231965666,0.8114787674891382,0.7042679021269257,1.4085358042538514,0.36062756861413847,1.0843779321292029,0.1702932058194715,0.02816802648069744,9.46459597093671,0.26628490691030154,True
phase2_g4_01_tiered_borrow_cost_only,G4_borrow_aware_short_leg,tiered borrow cost only,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Current champion short-leg treatment control.,1.1074255123155168,-0.09851396242016708,-0.0794616806591919,0.0026688460701988093,-0.09506742595622997,-0.0615192934467359,0.8114787674891382,-0.10186483004750502,-0.10090323942890167,0.8498947231965666,0.8114787674891382,0.7042679021269257,1.4085358042538514,0.36062756861413847,1.0843779321292029,0.1702932058194715,0.02816802648069744,9.46459597093671,0.26628490691030154,True
phase2_g5_03_4y_rolling_current,G5_training_window,4-year rolling training window,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Current champion training-window control.,1.1074255123155168,-0.09851396242016708,-0.0794616806591919,0.0026688460701988093,-0.09506742595622997,-0.0615192934467359,0.8114787674891382,-0.10186483004750502,-0.10090323942890167,0.8498947231965666,0.8114787674891382,0.7042679021269257,1.4085358042538514,0.36062756861413847,1.0843779321292029,0.1702932058194715,0.02816802648069744,9.46459597093671,0.26628490691030154,True
phase2_g6_01_prior50_learned50,G6_transparent_alpha_learning,current 50% prior / 50% learned,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Current champion alpha-learning control.,1.1074255123155168,-0.09851396242016708,-0.0794616806591919,0.0026688460701988093,-0.09506742595622997,-0.0615192934467359,0.8114787674891382,-0.10186483004750502,-0.10090323942890167,0.8498947231965666,0.8114787674891382,0.7042679021269257,1.4085358042538514,0.36062756861413847,1.0843779321292029,0.1702932058194715,0.02816802648069744,9.46459597093671,0.26628490691030154,True
phase2_g4_07_downweight_b_c_cost_aware,G4_borrow_aware_short_leg,Tier B/C downweight plus cost-aware short ranking,4y_rolling,prior50_learned50,equal_weight,short_alpha_minus_borrow_liquidity,downweight_tier_b_c_50pct,,1.2761398156613881,-0.07387589712851705,-0.04106427723457562,-0.1174230727433708,-0.10100324973585584,-0.07205279144979748,0.8971345365920866,-0.10100324973585617,-0.09114055728083437,0.853418244405048,0.8971345365920866,0.5844663910028827,1.1689327820057653,0.30962928202527773,0.9319884958532709,0.11342607186484943,0.02816802648069744,9.46459597093671,0.28365701508533814,False
phase2_g4_04_downweight_tier_b_c_50pct,G4_borrow_aware_short_leg,downweight Tier B/C shorts by 50%,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,downweight_tier_b_c_50pct,,1.2073058089541455,-0.08645623860765661,-0.06038247814978781,-0.20596420958494308,-0.10447603795485438,-0.07340347887052112,0.8390552634572342,-0.10447603795485316,-0.09527992661536122,0.8448665025889195,0.8390552634572342,0.5780484818437298,1.1560969636874596,0.309376558513756,0.9310943057960646,0.1139999504130692,0.02816802648069744,9.46459597093671,0.22231254152485666,False
phase2_g3_04_short_alpha_minus_borrow,G3_cost_aware_ranking,short-side alpha adjusted for borrow cost,4y_rolling,prior50_learned50,equal_weight,short_alpha_minus_borrow,tiered_borrow_cost_only,,1.1117674769185735,-0.09859923976650553,-0.07954876028306113,-0.002052350810253758,-0.09411418708505503,-0.06053071560679979,0.8080887769755359,-0.10198629444306007,-0.10102483387060923,0.8468228022204846,0.8080887769755359,0.7043748856686811,1.4087497713373622,0.3604376485195595,1.0838019662798022,0.16984461410650398,0.02816802648069744,9.46459597093671,0.26399705013480496,False
phase2_g6_07_robust_ridge_clipped,G6_transparent_alpha_learning,robust clipped ridge on ranked features,4y_rolling,robust_ridge_clipped,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,1.0988329146341098,-0.14144889976488073,-0.08858174075499847,0.33925171366094986,-0.08426091343438435,-0.08165144737564378,0.9572058517182744,-0.14144889976488084,-0.10090323942890167,1.393710577739265,0.9572058517182744,0.7385082205648309,1.4770164411296618,0.36483134906473147,1.096295535007287,0.14142410562252672,0.029617573241517457,11.414994578298355,0.644768825383379,False
phase2_g5_04_5y_rolling,G5_training_window,5-year rolling training window,5y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.922186128407899,-0.12055425564091216,-0.08073230509493357,0.0783443932283109,-0.0821120441462393,-0.058912424445815015,0.7763744441815339,-0.12055425564091171,-0.10090323942890167,0.9437517899737147,0.7763744441815339,0.7117248368414711,1.4234496736829423,0.3501247460305814,1.0520791746987794,0.15915656410696777,0.028706297073247983,9.591653314061313,0.49651350524913396,False
phase2_g5_02_3y_rolling,G5_training_window,3-year rolling training window,3y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.8881218602480709,-0.11184152600414154,-0.10426941297055425,0.09320618824224783,-0.09234691588265032,-0.06420138666951392,0.6684879443894788,-0.11184152600414177,-0.10426941297055425,0.7853666573262749,0.6684879443894788,0.7054994493954705,1.410998898790941,0.36365836981422217,1.0937841940088324,0.16941653580019733,0.027024868257303207,8.927251692734949,0.2813175735890277,False
phase2_g5_06_expanding_recent_decay,G5_training_window,expanding window with recent-year decay,expanding_recent_decay,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Deterministic two-year half-life applied in the learning step.,0.7675473381811122,-0.11003065853680083,-0.09093395548947625,0.206002904412024,-0.08238082645349287,-0.056037335553390855,0.6965231291744021,-0.11003065853679861,-0.10090323942890167,0.9159109050961383,0.6965231291744021,0.7168656185082544,1.4337312370165087,0.3528189569302018,1.060546489921584,0.16270112798235825,0.02824986483943272,9.472638106895793,0.4819614288015367,False
phase2_g4_05_expand_short_basket,G4_borrow_aware_short_leg,expand short basket to reduce short concentration,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.7621626273036417,-0.15401508638946182,-0.1351680452206493,0.02743514323542956,-0.07196383570564835,-0.047263336002671186,0.5641834376825964,-0.15401508638945982,-0.15200668488361935,0.5464602550180722,0.5641834376825964,0.9121281108586395,1.824256221717279,0.48053821493360527,1.4423195033241576,0.21373375164896002,0.02816802648069744,9.46459597093671,0.4838234395102234,False
